AI&DS Y23 Course Structure,,,,,,,,,,,,
,,,,,,,,,,,,
Academic Year_2023-24::ODD SEM( I Year),,,,,,,,,,,,
,Sl. No.,Category,Course code,Course Name,Credits,CH,Registered,ESC,3,,,
,10,ESC,23EC1202,DIGITAL DESIGN AND COMPUTER ARCHITECTURE,4,5,1,SDC,3,,,
,11,FCC,23EC2223F,FUNDAMENTALS OF ROBOTICS ,3,4,3,SCC,1,,,
,12,FCC,23EE2230F,ESSENTIALS OF AUTONOMOUS SYSTEMS,3,4,2,AUC,1,,,
,13,HRC,23IE01RF,INDEPENDENT STUDY & RESEARCH,3,#N/A,21,HAS,2,,,
,14,PRI,23IE3041,TECHNICAL INTERNSHIP,0,#N/A,454,CRT,1,,,
,15,ESC,23ME1103,DESIGN TOOL WORKSHOP,2,4,4,,,,,
,16,BSC,23MT1002,DISCRETE STRUCTURES,4,4,1,,,,,
,17,BSC,23MT2004,MATHEMATICAL PROGRAMMING,4,4,1,,,,,
,18,BSC,23MT2013,RELATIONAL ALGEBRA AND INFORMATION THEORY,4,4,3,,,,,
,19,ESC,23SC1203O,COMPUTATIONAL THINKING FOR OBJECT ORIENTED DESIGN,4,0,2,,,,,
,20,BSC,23SC3201,DATA SCIENCE & STATISTICS,4,4,4,,,,,
,21,SDC,23SDAD01R,DATA ANALYTICS AND VISUALIZATION,2,6,2,,,,,
,22,SDC,23SDCS12R,FULL STACK APPLICATION DEVELOPMENT,2,6,1,,,,,
,23,SDC,23SDME01R,VISUALIZATION & MODELLING FOR ENGINEERING DESIGN,2,6,1,,,,,
,24,SCC,23SP2116,YOGA,0,2,8,,,,,
,25,AUC,23UC0017,INDIAN KNOWLEDGE SYSTEMS - VEDIC MATHEMATICS,0,2,2,,,,,
,26,HAS,23UC1202,ENGLISH PROFICIENCY,2,4,1,,,,,
,27,HAS,23UC1203,DESIGN THINKING AND INNOVATION,2,4,2,,,,,
,28,CRT,CRTCODL1V1,CAMPUS RECRUITMENT: LOGIC BUILDING SKILLS TRAINING ,0,8,113,,,,,
,Total,,,,77,84,,,,,,
,,,,,,,,,,,,
Academic Year_2025-26::ODD SEM( III Year),,,,,,,,,,,,
,Sl. No.,Category,Course code,Course Name,Credits,CH,Registered,,,,,
,1,PEC,23ACI3101A,GENERATIVE ADVERSARIAL NETWORKS,7,12,45,,,,,
,2,PEC,23ACI3101R,GENERATIVE ADVERSARIAL NETWORKS,5,9,12,,,,,
,3,PCC,23AD3106A,BIG DATA ENGINEERING,6,0,189,,,,,
,4,PCC,23AD3106R,BIG DATA ENGINEERING,4,5,145,,,,,
,5,PCC,23AD3207A,NATURAL LANGUAGE PROCESSING,6,8,203,,,,,
,6,PCC,23AD3207R,NATURAL LANGUAGE PROCESSING,4,0,136,,,,,
,7,PEC,23ADE3101A,EDGE COMPUTING FUNDAMENTALS,7,12,15,,,,,
,8,PEC,23ALT3101A,APPLIED MACHINE LEARNING FOR TEXT ANALYSIS,7,12,78,,,,,
,9,PEC,23ALT3101R,APPLIED MACHINE LEARNING FOR TEXT ANALYSIS,5,#N/A,19,,,,,
,10,PEC,23BEW3101A,"INTRODUCTION TO BLOCKCHAIN TECHNOLOGY, CRYPTOCURRENCIES AND TOKENS",7,12,6,,,,,
,11,SMFC,23BT1101,CELL BIOLOGY,3,3,1,,,,,
,12,SMFC,23BT3214,BIOINFORMATICS,3,4,1,,,,,
,13,VAC,23CC3011,AWS CERTIFIED DEVELOPER ASSOCIATE-DVA-C02,0,#N/A,,,,,,
,14,VAC,23CC3012,AWS CERTIFIED DEVOPS ENGINEER - PROFESSIONAL SOFTWARE DEVELOPMENT AND DEVOPS,0,#N/A,,,,,,
,15,VAC,23CC3013,AWS CERTIFIED MACHINE LEARNING - SPECIALTY-MLS-C01,0,#N/A,,,,,,
,16,VAC,23CC3014,AWS CERTIFIED SOLUTIONS ARCHITECT-SAA-C03,0,#N/A,,,,,,
,17,VAC,23CC3040,JUNIPER NETWORKS CERTIFIED ASSOCIATE - JUNOS-JN0-105,0,#N/A,,,,,,
,18,VAC,23CC3047,MICROSOFT CERTIFIED AZURE AI ENGINEER ASSOCIATE,0,#N/A,,,,,,
,19,VAC,23CC3060,PCAP - CERTIFIED ASSOCIATE PYTHON PROGRAMMER,0,0,,,,,,
,20,VAC,23CC3091,UNITY CERTIFIED ASSOCIATE: GAME DEVELOPER,0,#N/A,,,,,,
,21,VAC,23CC3104,GOOGLE CLOUD CERTIFIED PROFESSIONAL DATA ENGINEER,0,#N/A,,,,,,
,22,VAC,23CC3185,AWS CERTIFIED DATA ENGINEER-ASSOCIATE,0,#N/A,,,,,,
,23,VAC,23CC3201,GOOGLE PROFESSIONAL ML ENGINEER,0,#N/A,,,,,,
,24,PEC,23CEC3101A,CLOUD INFRASTRUCTURE AND SERVICES,7,12,47,,,,,
,25,PEC,23CEC3101R,CLOUD INFRASTRUCTURE AND SERVICES,5,0,15,,,,,
,26,FCC,23CI2001F,ADAPTIVE SOFTWARE ENGINEERING,3,#N/A,65,,,,,
,27,PEC,23CID3101A,CLOUD INFRASTRUCTURE ENGINEERING,7,12,4,,,,,
,28,PEC,23CID3101R,CLOUD INFRASTRUCTURE ENGINEERING,5,0,1,,,,,
,29,PEC,23CNE3101A,FOUNDATIONS OF CLOUD NATIVE COMPUTING,7,12,8,,,,,
,30,HFC,23CS03HF,ADVANCED ALGORITHMS AND DATA STRUCTURES,4,#N/A,95,,,,,
,31,HEF,23CS06EF,MERN STACK WEB DEVELOPMENT,4,#N/A,2,,,,,
,32,FCC,23CS2224F,CRYPT ANALYSIS AND CYBER DEFENCE,3,#N/A,73,,,,,
,33,FCC,23CS2237F,QUANTUM COMPUTING,3,#N/A,96,,,,,
,34,FCC,23CS2239F,SOFTWARE VERIFICATION AND VALIDATION,3,#N/A,90,,,,,
,35,PEC,23CSB3101A,CRYPT ANALYSIS AND CYBER DEFENCE,7,12,26,,,,,
,36,PEC,23CSB3101R,CRYPT ANALYSIS AND CYBER DEFENCE,5,0,34,,,,,
,37,PEC,23DEA3101A,FUNDAMENTALS OF DATA ENGINEERING,7,#N/A,41,,,,,
,38,PEC,23DEA3101R,FUNDAMENTALS OF DATA ENGINEERING,5,9,16,,,,,
,39,PEC,23DLA3101A,SYSTEM AND NETWORK TRAFFIC SECURITY ANALYTICS,7,12,12,,,,,
,40,PEC,23DLA3101R,SYSTEM AND NETWORK TRAFFIC SECURITY ANALYTICS,5,9,2,,,,,
,41,HIC,23DT03IF,CUSTOMER VALIDATION FOR STARTUPS,4,10,14,,,,,
,42,FCC,23EE2230F,ESSENTIALS OF AUTONOMOUS SYSTEMS,3,4,19,,,,,
,43,PEC,23GDU3101A,PROGRAMMING FOR GAME DEVELOPMENT,7,12,6,,,,,
,44,PEC,23GDU3101R,PROGRAMMING FOR GAME DEVELOPMENT,5,0,5,,,,,
,45,HRC,23IE03RF,RESEARCH SEMINAR,3,#N/A,24,,,,,
,46,SDC,23SDAD10A,COMPUTER VISION USING OPENCV,4,10,319,,,,,
,47,SDC,23SDAD10R,COMPUTER VISION USING OPENCV,2,6,129,,,,,
,48,SDC,23SDBT01A,MEDICAL LAB TECHNOLOGY,4,10,1,,,,,
,49,PEC,23SDM3101A,SENTIMENT ANALYSIS,7,12,14,,,,,
,50,PEC,23SDM3101R,SENTIMENT ANALYSIS,5,9,9,,,,,
,51,PEC,23SMD3101A,SOFTWARE VERIFICATION AND VALIDATION,7,12,21,,,,,
,52,PEC,23SMD3101R,SOFTWARE VERIFICATION AND VALIDATION,5,9,10,,,,,
